"year","age","caan","caaw","waa","waa.sd","laa","laa.sd","zero","waa.interpol"
1975,4,NA,NA,NA,NA,NA,NA,NA,0.458128094876924
1975,5,NA,NA,NA,NA,NA,NA,NA,0.498747629456894
1975,6,NA,NA,NA,NA,NA,NA,NA,0.567788642864818
1975,7,NA,NA,NA,NA,NA,NA,NA,0.591951249212448
1975,8,NA,NA,NA,NA,NA,NA,NA,0.618224170077586
1975,9,NA,NA,NA,NA,NA,NA,NA,0.645104218836842
1975,10,NA,NA,NA,NA,NA,NA,NA,0.673036735589136
1976,1,5079.50129203771,899.474135824187,0.17707922177993,0.0426009440169128,258.416089501,18.1327354979539,FALSE,0.17707922177993
1976,2,37834.5150727929,11125.5154380843,0.294057302351544,0.0417381556148146,300.853434322621,14.3503552542699,FALSE,0.294057302351544
1976,3,28806.2502897401,10302.88790826,0.357661542360811,0.0449133295086085,317.096175185263,12.3281744965016,FALSE,0.357661542360811
1976,4,6418.63258633893,2940.5559184944,0.458128094876924,0.0558497385350036,341.373559396455,12.8717495971915,FALSE,0.458128094876924
1976,5,4401.10662100847,2195.04149421501,0.498747629456894,0.0623473467132176,350.564261859219,13.692655610759,FALSE,0.498747629456894
1976,6,2358.57916073697,1339.17446076409,0.567788642864818,0.0742609415646162,365.19855156245,14.6675138753433,FALSE,0.567788642864818
